Name,Type,Foundation,Price,Size,Length,Width,Bedrooms,Bathrooms,Lofts,Misc,Location,Link,City,State,Country,Days on site,Number of views,Times dreamlisted
"Natural Modern 30ft Tiny House ""Sycamore"" By Made Relative",Tiny House,Mobile,90000,320.0,30.0,8.5,2.0,1.0,2.0,Delivery Available,"Wichita, Kansas, United States",https://tinyhouselistings.com/listings/sycamore-by-made-relative,Wichita,Kansas,United States,7.0,0.0,127.0
Spacious & Luxurious 588 Sq. Ft. Small House On Trailer,Tiny House,Mobile,98000,588.0,42.0,14.0,1.0,1.0,0.0,New,"Camano Island, Washington, United States",https://tinyhouselistings.com/listings/spacious-luxurious-588-sq-ft-small-house-on-trailer-tiny_house,Camano Island,Washington,United States,8.0,0.0,21.0
Short skoolie project,Converted Bus,Mobile,10000,160.0,25.0,8.0,2.0,0.0,0.0,Delivery Available,"Taylors, South Carolina, United States",https://tinyhouselistings.com/listings/short-skoolie-project,Taylors,South Carolina,United States,8.0,0.0,17.0
Big Sky 18' Tiny House,Tiny House,Mobile,55500,153.0,18.0,8.5,1.0,1.0,1.0,Used,"Ennis, Montana, United States",https://tinyhouselistings.com/listings/big-sky-18-tiny-house,Ennis,Montana,United States,7.0,0.0,3.0
Beautiful 36' tiny home gooseneck shell with R30 insulation,Tiny House Shell,Mobile,50000,272.0,34.0,8.6,2.0,1.0,1.0,Delivery Available,"Bristol, Vermont, United States",https://tinyhouselistings.com/listings/beautiful-36-tiny-home-gooseneck-shell-with-r30-insulation,Bristol,Vermont,United States,5.0,0.0,7.0
Skoolie converted bus tiny home,Converted Bus,Mobile,19000,270.0,36.0,7.5,1.0,1.0,0.0,Delivery Available,"La Conner , Washington, United States",https://tinyhouselistings.com/listings/skoolie-converted-bus-tiny-home,La Conner ,Washington,United States,8.0,0.0,20.0
2010 Athens 2 Bedroom Tiny House Park Model,Park Model,Stationary,69995,399.0,36.0,11.0,2.0,1.0,0.0,Used,"Georgetown, Texas, United States",https://tinyhouselistings.com/listings/2010-athens-2-bedroom-tiny-house-park-model,Georgetown,Texas,United States,8.0,0.0,24.0
Tiny Home Completely Renovated,Tiny House,Mobile,31500,290.0,,,1.0,2.0,1.0,Square Feet,"San Angelo, Texas, United States",https://tinyhouselistings.com/listings/tiny-home-completely-renovated,San Angelo,Texas,United States,7.0,0.0,21.0
Mid-Century Modern Farmhouse- 28' Tiny Home,Tiny House,Mobile,69000,224.0,28.0,8.0,1.0,1.0,1.0,New,"Paso Robles, California, United States",https://tinyhouselistings.com/listings/midcentury-modern-farmhouse-28-tiny-home,Paso Robles,California,United States,12.0,0.0,42.0
Skoolie (Converted Bus) FOR SALE - 1987 Thomas Built Coach Transit Liner Bus,Converted Bus,Mobile,28000,240.0,40.0,8.5,1.0,1.0,0.0,Used,"Durham, North Carolina, United States",https://tinyhouselistings.com/listings/skoolie-converted-bus-for-sale-1987-thomas-built-coach-transit-liner-bus,Durham,North Carolina,United States,13.0,0.0,67.0
