Name,Type,Foundation,Price,Size,Length,Width,Bedrooms,Bathrooms,Lofts,Misc,Location,Link,City,State,Country,Days on site,Number of views,Times dreamlisted
Modern European Style Container House,Container Home,Mobile,45000,160.0,20.0,8.0,0,1,0,Delivery Available,"Long Beach, California, United States",https://tinyhouselistings.com/listings/modern-european-style-container-house,Long Beach,California,United States,9,0,26.0
Wheelchair friendly Park Model RV Ready for delivery!,Park Model,Mobile,54900,399.0,41.0,12.0,1,1,0,Delivery Available,"Mansfield , Texas, United States",https://tinyhouselistings.com/listings/wheelchair-friendly-park-model-rv-ready-for-delivery,Mansfield ,Texas,United States,9,0,30.0
Flat Top Insulated Building 16x10 SheShed/Cabin/Office/Man Cave,Tiny House Shell,Stationary,4309,160.0,16.0,10.0,0,0,0,New,"Commerce, California, United States",https://tinyhouselistings.com/listings/flat-top-insulated-building-16x10-sheshed-cabin-office-man-cave,Commerce,California,United States,9,0,3.0
The Cypress Shack,Tiny House,Mobile,40000,144.0,18.0,8.0,1,1,2,Used,"New Iberia , Louisiana, United States",https://tinyhouselistings.com/listings/the-cypress-shack,New Iberia ,Louisiana,United States,9,0,58.0
NEW Modern 32' Tiny Home with Designer Details,Tiny House,Mobile,89500,272.0,32.0,8.5,1,1,0,New,"Dripping Springs, Texas, United States",https://tinyhouselistings.com/listings/brand-new-modern-32-tiny-home-with-designer-details,Dripping Springs,Texas,United States,9,0,71.0
Turtleback Shack,Tiny House Shell,Mobile,25000,80.0,10.0,9.0,0,0,0,Delivery Available,"OVERLAND PARK, Kansas, United States",https://tinyhouselistings.com/listings/turtleback-shack,OVERLAND PARK,Kansas,United States,9,0,10.0
Tiny house on wheels,Tiny House,Mobile,79000,230.0,20.0,8.5,1,1,1,New,"Webster, Massachusetts, United States",https://tinyhouselistings.com/listings/tiny-house-on-wheels-7e1c1450-61eb-4418-865b-2fe29b823362,Webster,Massachusetts,United States,10,0,56.0
Stone Mountain 16' Tiny House,Tiny House,Mobile,39000,128.0,16.0,8.0,1,1,1,New,"Stone Mountain, Georgia, United States",https://tinyhouselistings.com/listings/stone-mountain-16-tiny-house,Stone Mountain,Georgia,United States,12,0,34.0
Slice of Freedom- 19' Luxurious Tiny House,Tiny House,Mobile,47500,161.0,19.0,8.5,1,1,0,Square Feet,"Ponte Vedra Beach, Florida, United States",https://tinyhouselistings.com/listings/slice-of-freedom-19-luxurious-tiny-house,Ponte Vedra Beach,Florida,United States,12,0,31.0
2019. Elm Equator,Tiny House,Mobile,79000,260.0,26.0,8.0,2,1,1,Square Feet,"Hastings, Florida, United States",https://tinyhouselistings.com/listings/2019-elm-equator-tiny_house,Hastings,Florida,United States,12,0,3.0
Teeny-Tiny House Waiting for Your Finishing Touch,Tiny House,Mobile,15000,93.0,14.0,6.0,0,1,2,New,"Daytona Beach, Florida, United States",https://tinyhouselistings.com/listings/teeny-tiny-house-waiting-for-your-finishing-touch,Daytona Beach,Florida,United States,12,0,58.0
New Handcrafted Custom Designed Tiny Home,Tiny House,Mobile,85000,140.0,23.0,8.0,0,1,1,Delivery Available,"Incline Village, Nevada, United States",https://tinyhouselistings.com/listings/new-handcrafted-custom-designed-tiny-home,Incline Village,Nevada,United States,8,0,16.0
New Tiny House With Many Reclaimed Materials Included,Tiny House,Mobile,27000,158.0,7.5,21.0,0,1,2,New,"Greer, South Carolina, United States",https://tinyhouselistings.com/listings/new-tiny-house-lots-of-reclaimed-materials-included,Greer,South Carolina,United States,13,0,38.0
Affordable Off-Grid Tiny House,Tiny House,Mobile,37000,192.0,24.0,8.0,1,1,1,Square Feet,"Colorado Springs, Colorado, United States",https://tinyhouselistings.com/listings/off-grid-tiny-house-tiny_house-purchase,Colorado Springs,Colorado,United States,14,0,31.0
New 500 Square Feet Tiny House In Waterfront Community,Park Model,Mobile,49900,498.0,47.0,14.0,1,1,0,New,"Crescent City, Florida, United States",https://tinyhouselistings.com/listings/new-500-square-feet-tiny-house-in-waterfront-community,Crescent City,Florida,United States,14,0,71.0
Custom Solar Tiny Home,Tiny House,Mobile,115000,325.0,37.0,8.6,1,1,2,Dual Lofts,"Knoxville, Tennessee, United States",https://tinyhouselistings.com/listings/custom-solar-tiny-home-tiny_house,Knoxville,Tennessee,United States,14,0,114.0
Tiny Modern Farmhouse,Tiny House,Mobile,55000,238.0,28.0,8.5,0,1,2,Used,"Hutto, Texas, United States",https://tinyhouselistings.com/listings/tiny-modern-farmhouse-tiny_house_trailer-purchase,Hutto,Texas,United States,16,0,37.0
Shed Life,Tiny House,Mobile,52000,230.0,21.0,8.0,1,1,1,Delivery Available,"Pisgah Forest, North Carolina, United States",https://tinyhouselistings.com/listings/shed-life,Pisgah Forest,North Carolina,United States,16,0,25.0
Tiny House Shell San Diego,Tiny House,Mobile,18000,220.0,20.4,8.4,1,1,1,Square Feet,"San Diego, California, United States",https://tinyhouselistings.com/listings/tiny-house-shell-san-diego-tiny_house,San Diego,California,United States,16,0,18.0
Bus conversion,Converted Bus,Mobile,32000,100.0,14.0,8.0,1,1,0,Used,"Los Angeles, California, United States",https://tinyhouselistings.com/listings/bus-conversion-converted_bus,Los Angeles,California,United States,17,0,60.0
3yr old Tiny Home near Tampa. FL,Tiny House,Mobile,55000,260.0,,,0,1,1,Used,"Ruskin, Florida, United States",https://tinyhouselistings.com/listings/3yr-old-tiny-home-near-tampa-fl,Ruskin,Florida,United States,17,0,13.0
46' Beautiful Fully Furnished One Floor Tiny Home,Tiny House,Mobile,125000,600.0,44.0,14.0,1,1,0,Used,"Boaz, Alabama, United States",https://tinyhouselistings.com/listings/46-beautiful-one-floor-tiny-home,Boaz,Alabama,United States,17,0,108.0
RV Retreat Jayco 2011,RV,Mobile,15000,425.0,40.0,8.5,1,1,0,Square Feet,"Hampton Bays, New York, United States",https://tinyhouselistings.com/listings/rv-retreat-jayco-2011,Hampton Bays,New York,United States,17,0,48.0
Beautiful 26' Tiny House For Full-Time Living,Tiny House,Mobile,79500,180.0,26.0,8.0,1,1,1,Used,"Waterloo, Iowa, United States",https://tinyhouselistings.com/listings/beautiful-26-tiny-house-for-full-time-living,Waterloo,Iowa,United States,18,0,18.0
Beautiful Off-Grid Capable Skoolie,Converted Bus,Mobile,47500,210.0,31.75,8.0,1,1,0,Delivery Available,"Antonito, Colorado, United States",https://tinyhouselistings.com/listings/beautiful-off-grid-capable-skoolie,Antonito,Colorado,United States,19,0,53.0
Cedar Cabins ready to Roll,Park Model,Mobile,14900,360.0,30.0,12.0,1,1,0,Used,"Cotulla, Texas, United States",https://tinyhouselistings.com/listings/cedar-cabins-ready-to-roll,Cotulla,Texas,United States,20,0,74.0
Brand NEW Furnished Tiny Home w/appliances,Tiny House,Mobile,28000,160.0,20.0,8.0,1,1,1,Delivery Available,"Newport, Oregon, United States",https://tinyhouselistings.com/listings/new-tiny-home-on-the-coast-with-parking,Newport,Oregon,United States,21,0,48.0
5th Wheel Tiny House Shell Metal Frame Roof Extras,Tiny House Shell,Mobile,35000,296.0,37.0,8.0,1,1,1,New,"Kissimmee, Florida, United States",https://tinyhouselistings.com/listings/gooseneck-tiny-house-shell-metal-frame-roof,Kissimmee,Florida,United States,13,0,1.0
8’x20’ Sunny Tiny Home 😎,Park Model,Mobile,59500,160.0,20.0,8.0,1,1,1,Delivery Available,"E. Falmouth, Massachusetts, United States",https://tinyhouselistings.com/listings/20-x-8-with-extended-loft,E. Falmouth,Massachusetts,United States,8,0,5.0
Charming Rustic Cabin Elegant Tiny House,Tiny House,Mobile,89900,420.0,30.0,10.0,1,1,1,Used,"Draper, Utah, United States",https://tinyhouselistings.com/listings/charming-rustic-cabin-elegant-tiny-house,Draper,Utah,United States,22,0,63.0
South Austin - established 2017 Park Model,Park Model,Mobile,67000,951.0,65.0,14.0,2,2,0,Used,"Austin, Texas, United States",https://tinyhouselistings.com/listings/south-austin-established-2017-park-model,Austin,Texas,United States,22,0,47.0
Custom Kona 40' Park Model Tiny House,Park Model,Mobile,101500,399.0,40.0,11.0,1,1,0,Comes With Land,"Austin, Texas, United States",https://tinyhouselistings.com/listings/custom-kona-40-park-model-tiny-house,Austin,Texas,United States,1,0,20.0
Well-Made Tiny House Built By The Amish,Tiny House,Mobile,42000,136.0,16.0,8.5,0,1,2,Delivery Available,"West Bath, Maine, United States",https://tinyhouselistings.com/listings/well-made-tiny-house-built-by-the-amish,West Bath,Maine,United States,22,0,24.0
BlueBird 38ft Flat Nose Bus Conversion Ready Januray,Converted Bus,Stationary,49498,296.0,38.0,7.8,1,1,0,New,"San Antonio , Texas, United States",https://tinyhouselistings.com/listings/bluebird-38ft-flat-nose-bus-conversion-ready-januray,San Antonio ,Texas,United States,22,0,12.0
"Urban RV Tiny Home upgraded with 50"" ROKU/Alcatel HOTSPOT",RV,Mobile,19000,180.0,22.5,8.0,0,1,0,Square Feet,"Brooklyn, New York, United States",https://tinyhouselistings.com/listings/urban-rv-tiny-home-upgraded-with-50-roku-alcatel-hotspot,Brooklyn,New York,United States,22,0,48.0
26' Modern Farmhouse Tiny Home on Wheels,Tiny House,Mobile,69000,208.0,26.0,8.0,1,1,2,Used,"kent, Washington, United States",https://tinyhouselistings.com/listings/26-modern-farmhouse-tiny-home-on-wheels,kent,Washington,United States,19,0,117.0
Custom Kona,Park Model,Mobile,101500,399.0,40.0,11.0,1,1,0,Used,"Austin, Texas, United States",https://tinyhouselistings.com/listings/custom-kona,Austin,Texas,United States,23,0,56.0
Tiny House on wheels 20' Complete 208 sq ft. (100% Off -Grid Model available),Tiny House,Mobile,36999,208.0,20.0,8.0,1,1,1,New,"Madison, Georgia, United States",https://tinyhouselistings.com/listings/tiny-house-on-wheels-20-complete-208-sq-ft-100-off-grid-model-available,Madison,Georgia,United States,24,0,87.0
"28' Beautiful White Tiny Home, Farmhouse Interior.",Tiny House,Mobile,78000,224.0,28.0,8.0,1,1,1,Used,"Sanford , Florida, United States",https://tinyhouselistings.com/listings/28-beautiful-white-tiny-home-farmhouse-interior,Sanford ,Florida,United States,24,0,126.0
