Name,Price,Location,City,State,Country,Type,Foundation,Misc,Bedrooms,Lofts,Bathrooms,Size,Length,Width,Days on site,Number of views,Times dreamlisted,Link
Awesome 24FT Tiny House on Wheels (Custom/Rustic),8800,"Fisher, West Virginia, United States",Fisher,West Virginia,United States,Tiny House,Mobile,Used,1,0,1,192.0,24.0,8.0,0,0,,https://tinyhouselistings.com/listings/awesome-24ft-tiny-house-on-wheels-custom-rustic
Beautiful 28' Farmhouse Tiny Home,85900,"Durango, Colorado, United States",Durango,Colorado,United States,Tiny House,Mobile,Delivery Available,2,2,1,305.0,28.0,8.5,0,0,,https://tinyhouselistings.com/listings/beautiful-28-farmhouse-tiny-home
Tiny House With Master Bedroom + 2 Lofts,60000,"Boise, Idaho, United States",Boise,Idaho,United States,Tiny House,Mobile,Delivery Available,1,2,1,240.0,24.0,8.0,1,0,11.0,https://tinyhouselistings.com/listings/tiny-house-with-master-bedroom-2-lofts
Extremely Affordable 20' New Tiny House,35000,"Boise, Idaho, United States",Boise,Idaho,United States,Tiny House,Mobile,Delivery Available,1,1,1,160.0,20.0,8.0,1,0,9.0,https://tinyhouselistings.com/listings/extremely-affordable-20-new-tiny-house
Skoolie - 31.75 ft Thomas HDX Rear Engine,45000,"Antonito, Colorado, United States",Antonito,Colorado,United States,Converted Bus,Mobile,Delivery Available,1,0,1,210.0,31.75,8.0,1,0,10.0,https://tinyhouselistings.com/listings/skoolie-31-75-ft-thomas-hdx-rear-engine
A Fresh Adventure,50000,"Spring City, Tennessee, United States",Spring City,Tennessee,United States,Tiny House,Mobile,Delivery Available,1,1,1,160.0,20.0,8.0,1,0,8.0,https://tinyhouselistings.com/listings/a-fresh-adventure-tiny_house
TheKastleOnWheels,75000,"Gilroy, California, United States",Gilroy,California,United States,Converted Bus,Mobile,Delivery Available,1,0,1,325.0,40.0,8.0,1,0,6.0,https://tinyhouselistings.com/listings/thekastleonwheels
Comfortable Cozy 24' Tiny House (Entirely Off Grid),70000,"San Diego, California, United States",San Diego,California,United States,Tiny House,Mobile,Delivery Available,1,2,2,204.0,24.0,8.6,2,0,5.0,https://tinyhouselistings.com/listings/comfortable-cozy-24-tiny-house-entirely-off-grid
8'x16' Mid Century Modern Tiny House on Wheels.,39000,"Stone Mountain, Georgia, United States",Stone Mountain,Georgia,United States,Tiny House,Mobile,New,0,1,1,128.0,16.0,8.0,2,0,12.0,https://tinyhouselistings.com/listings/8-x16-mid-century-modern-tiny-house-on-wheels
SPACE for 30' Tiny Home $600 NATURE ALL AROUND!,600,"Portland, Oregon, United States",Portland,Oregon,United States,Parking,Mobile,Square Feet,0,0,0,0.0,,,1,0,1.0,https://tinyhouselistings.com/listings/space-for-30-tiny-home-600-nature-all-around
Custom built 8’ x 20’ tiny home on wheels,35000,"Charleston , South Carolina, United States",Charleston ,South Carolina,United States,Tiny House,Mobile,Used,1,1,1,160.0,20.0,8.0,2,0,18.0,https://tinyhouselistings.com/listings/custom-built-8-x-20-tiny-home-on-wheels
Permanent Tiny House On Foundation. Tiny Simplicity.,55000,"Trinidad, California, United States",Trinidad,California,United States,Tiny House,Stationary,New,1,1,1,160.0,16.0,10.0,2,0,10.0,https://tinyhouselistings.com/listings/permanent-tiny-house-on-foundation-simplicity
8x24 Tiny House Ready For The Simple Life,55000,"Linden, Tennessee, United States",Linden,Tennessee,United States,Tiny House,Mobile,Delivery Available,2,1,1,192.0,24.0,8.0,2,0,12.0,https://tinyhouselistings.com/listings/8x24-tiny-house-ready-for-the-simple-life
Wildbound 5' x 8' Tiny Cabin,9199,"Pennsburg , Pennsylvania, United States",Pennsburg ,Pennsylvania,United States,Tiny House,Mobile,Square Feet,1,0,0,40.0,8.0,5.0,3,0,28.0,https://tinyhouselistings.com/listings/wildbound-5-x-8-tiny-cabin
